becouse of ubiquity :9954
just before am :228a
bjsnider okay thanks :c54e
it is supported :a9d8
pastebin the logfile :958f
the dialog disappears :1733
it didnt work :d258
window manager crashed :0b6a
also kdewindowmanagercommon maybe :f730
daekdroom need help :a86d
aborted core dumped :b142
today is saturday :441f
i tried there :4ed4
haha p i :5792
m is there :04b7
did forcedeps help :8be5
blueskaj google translator :ab01
supported cards httpwwwnvidiacomobjectlinuxdisplayamddriverhtml :0ee8
anything in xsessionerrors :e11b
ok trying that :b83e
depends on location :3400
no i cant :e43a
that is why :fce7
f not optionsquiet :c78b
nice thank you :2c00
hopefully the latter :7480
i hit upgrade :2c59
patrck bounces penguin :708a
there are more :25d9
oh i intel :3d9b
patrck youre welcome :0228
see ya later :1d00
san youre welcome :3505
trying to update :656e
not the application :7c30
seems to be :590b
aufs mount failed :834e
in the usrshareapplicationsskypedesktop :9665
looking at man :0025
patrck tries that :0cca
there were errors :0f3b
updateinitramfs generating bootinitrdimggeneric :b009
ill try scrot :677b
what this means :0395
hey it worked :6d35
httppasteubuntucom any ideas :b11e
thats even worse :1589
aha thank you :c192
tygart good luck :60ce
he has them :f43c
i dont know :cbf9
mint is ubuntu :03aa
never a break :cd33
usrshareapplicationsskypedesktop and localshareapplicationsskypedesktop :3d50
sure it is :3850
is it onboard :2938
getting this problem :c1d1
and it opened :9ff1
that shouldnt happen :6ed3
gnomefreak got it :c45e
awesome choice man :14f2
whats the error :b53a
