catid ms chat :74f3
well i cant :b5ab
borschty try fonts :9da2
k just checking :4474
aptcache depends package :bb74
cables doesnt work :447e
danag it is :84a5
or try wwwgetdebsnet :0668
mmikemrma try that :e698
wakeups per second :519e
different update intervals :1e06
thats very irritating :2e4c
example feistyupdates repos :497a
tohellwithga its known :68dd
is it normal :03f4
thats gutsys kernel :956c
unload and reload :a1f4
hello to all :bbfc
no its not :1bd6
like the uk :ed75
no idea sorry :c762
info xfcemixeralsa feisty :7d8f
are u operator :eeef
ah good point :7d6d
carlfk not yet :7d48
its in alpha :f068
aptget source linux :d519
oh lol right :51c5
whats the error :b53a
pretty much yep :138d
ok found it :eb2d
hi to all :5723
i need helppls :fb3c
stuff runs well :825d
unlikely just you :2cf8
see the topic :e103
it doesnt freeze :c1b3
joe not supported :216d
perhaps about three :d00d
with gutsy repos :1386
her we go :8b85
rootubuntulaptopvarcrash apportretrace usrbinxorgcrash :3ab5
oh the modesetting :a03c
that works too :b918
in running pulseaudio :3a51
what sound card :292a
borschty iso location :a53c
psmouse for one :18b6
since april or :d115
i like humanubuntulooks :df26
aptget source cryptsetup :96f0
no its gb :294e
gnomefreak i know :da0e
never had that :ddd4
aptcache rdepends package :dd17
nope long beach :7842
i have edgy :1e5b
gnomefreak of course :a684
i can yes :e276
and boot parameters :9908
lovely naming eh :b891
fixing it now :092d
this is true :bce9
packages from gutsy :fb9f
yeah it does :1497
i like powertop :6352
both of them :9cbf
no extra battery :4421
d d d :3e62
kernel wrt usb :bb15
aptget install buildessential :af43
im assuming updatemanager :d0ce
not just gems :2db2
anyone else around :244f
im using feisty :dc8d
oh thats fine :4775
toma come again :315d
without reinstalling os :8f76
thatd be cool :905c
ha ha ha :cfa3
not necessarily raof :3f34
kalpik easiest way :75e7
nomefreakgutsygibbons ping gbarchiveubuntucom :daf9
alsamixer settings ok :4328
when theyre done :047c
okwill try that :3de8
is bug generated :e737
oh errr sorry :34df
pricechild pdebuild ftw :a683
what is buildessential :d476
info wine gutsy :56a8
thats highly unlikely :fc6b
theres qtcurve too :7764
nooono more bugs :9ff3
dont care acroread :e4b9
well no wonder :3e84
aptget source linuxsource :4df0
info rhythmbox edgy :4c8e
info rhythmbox feisty :63e3
no no no :a561
nope still borked :ed72
bwa ha ha :18fa
pastebin the varlogxorglog :8f08
info havp feisty :1fd9
but in essence :d5dd
hint locate inittab :4bf6
thankyou borschty bbiab :9f61
but httparchivecanonicalcom works :ffb5
sarahlongpointystick madison vmlinuzgeneric :5221
aptget downloaded mb :a4ea
sudo chroot varchroot :39e5
why the move :96b8
not ttried yet :10ad
that is nasty :fd47
hobbsee they havent :bdcc
jcole empty file :2df9
i blame sunspots :2a11
try again later :66c3
gnomepowermanager laptopmode powernowd :88cb
thatd be nice :7d2c
and no gutsycommercial :e052
ya i know :d298
you meant nvidia :e792
grub reads kernel :66e4
hobbsee kubuntu tribe :71cd
fnsuper is ctrlaltdel :22a6
according to aboutcom :69b1
its already there :ba8f
fcd is equivalent :767b
its fixed here :7cad
i like noodles :81df
i have intel :9468
hobbsee destroy flags :6cc0
good point there :445e
not to upgrade :cf57
altf gives s :d469
thanks again crimsun :d124
look on wikipedia :77ad
what about it :3f62
mines boring m :ce50
ah fair enough :a63d
maybe a typo :e711
you want ubuntu :80fe
hobbsee gtkqtenginesvnrevubuntusourcechanges done :48f4
no name yet :f9c5
but dont crash :de8a
dont be phylosific :f89e
thats why then :e338
compcomm very possibly :f590
thanks a lot :e38f
anyone seen kwii :13c8
oh something odd :d655
when its done :cab4
