lightdm ubuntudesktop xorg :8b96
phoenixfirebrd thats kubuntu :94c4
jrib no difference :9fef
just the outline :b38a
quantal is enough :3163
no other os :d8e8
the operation succeeded :42fd
today is saturday :441f
also kdewindowmanagercommon maybe :f730
its their site :c2c9
gabrielsoe not yet :d63b
shouldnt take long :72bb
or edit it :e917
thus the cog :930d
no big loss :c949
wheres the patch :605e
and dont crosspost :9a07
are we d :2443
hey hey hggdh :7f01
ok guys bbl :85c3
so np there :55e8
report a bug :4d1a
try the logon :3751
yeah mouse nub :f55a
its almost unusable :ed26
let me see :bc6f
you using unity :e08e
info myunity quantal :c001
oh really hmm :6813
is something broken :a222
currently not installed :65d9
which makes sense :e28b
yeah i know :d0df
who is he :19c7
then sudo updategrub :50a9
looking at man :0025
erle check wikicchtmlcom :582e
an error here :0d17
updateinitramfs generating bootinitrdimggeneric :b009
thanks it worked :1fcf
that is fine :8e21
ok thanks trism :3a4d
toolchain is up :3ac8
building dependency tree :6c06
big mess up :cd0b
i dont know :cbf9
except spelled correctly :447c
its very powerful :b41b
jaimerave check configurelog :aa62
nameubuntu to nameubuntud :3598
but of course :7d94
is it onboard :2938
in the setting :2f39
any idea why :1c86
err one update :192f
ya it is :02ae
let me check :4674
becouse of ubiquity :9954
that was yesterday :e73e
it is supported :a9d8
thats while booting :39dc
before the uds :0cfa
nothing much happens :677d
could anyone investigate :a036
video download helper :1bd6
ok i will :25a8
still no rc :2b11
seems nextlevel enough :86f7
haha p i :5792
rixter not sure :3d82
in the menu :2989
geniiaround thank you :a270
ok yofel thanks :5a9c
but i can :235a
its baffiling my :a8f3
hey it worked :6d35
porting to qt :6dca
xrfang me too :3d89
the configure error :4037
nice thank you :2c00
gnomefreakdevelopment policy nvidiacommon :c014
bash x osprober :5e8c
its receiving it :afbc
jdfoote woah stop :fa0a
daekdroom source httpsduckduckgocomqubunturemovewebapps :59a9
patrck youre welcome :0228
adie any suggestions :763c
probably sorry then :3308
i gotta run :56af
no no errors :90e5
that is correct :ef86
silverarrow release upgrade :0b24
youre installing myunity :3c8e
is your taste :d61b
unexpected internal error :efe2
that it does :5d8f
that wont work :9a23
pmatulis compiz related :25a1
or java error :c72e
gio whats downverter :e770
ill just reinstall :8707
very odd then :daa6
thats even worse :1589
umount the partition :791a
hm hes gone :4e1c
newman run softwarecenter :8280
hmm its wifi :b4d8
patrck tries that :0cca
how r u :3d69
file not found :e634
i hate apple :fb30
find b precise :66c7
oh my god :117f
odd but lucky :1a1e
mines says no :55cc
crizis thats great :f7b2
bobweaver it doesnt :53ef
yes it is :edd8
jbicha no change :68f6
good to hear :f566
need to what :acf7
it didnt work :d258
linuxgenericpae linuxheadersgenericpae linuximagegenericpae :ac6c
does not work :b1c3
hey quick question :ee7a
sure it does :ece1
m is there :04b7
run ubuntubug libreoffice :2098
f not optionsquiet :c78b
supported cards httpwwwnvidiacomobjectlinuxdisplayamddriverhtml :0ee8
jdfoote no prob :7ed6
and some updates :6ef1
treaver simple stuff :dded
calculating upgrade done :128f
less enter please :9f53
mine stops randomly :5915
bjsnider still around :1973
i hit upgrade :2c59
httppasteubuntucom any ideas :b11e
trism thank you :39c3
stop that ubottu :d533
probably that is :df8f
rabid rabbit p :012d
nope no go :c672
ah ok thanks :2622
ashael raging rhino :1d7f
actionparsnip sometimes no :3160
and gtkrc possibly :36c4
daily and netinst :3589
try to connect :2959
yes zero players :3ed9
yes left side :fef3
